Dates,Année,Mois,Anomalies
1918-06-01,1918,5,-0.329
1918-07-01,1918,6,-0.336
1918-08-01,1918,7,-0.358
1918-09-01,1918,8,-0.243
1918-10-01,1918,9,-0.095
1918-11-01,1918,10,-0.05
1918-12-01,1918,11,-0.232
1919-01-01,1919,0,-0.106
1919-02-01,1919,1,-0.085
1919-03-01,1919,2,-0.306
1919-04-01,1919,3,-0.072
1919-05-01,1919,4,-0.255
1919-06-01,1919,5,-0.252
1919-07-01,1919,6,-0.362
1919-08-01,1919,7,-0.336
1919-09-01,1919,8,-0.239
1919-10-01,1919,9,-0.296
1919-11-01,1919,10,-0.532
1919-12-01,1919,11,-0.46
1920-01-01,1920,0,-0.239
1920-02-01,1920,1,-0.427
1920-03-01,1920,2,-0.119
1920-04-01,1920,3,-0.264
1920-05-01,1920,4,-0.2
1920-06-01,1920,5,-0.211
1920-07-01,1920,6,-0.285
1920-08-01,1920,7,-0.233
1920-09-01,1920,8,-0.139
1920-10-01,1920,9,-0.233
1920-11-01,1920,10,-0.289
1920-12-01,1920,11,-0.358
1921-01-01,1921,0,-0.141
1921-02-01,1921,1,-0.183
1921-03-01,1921,2,-0.249
1921-04-01,1921,3,-0.22
1921-05-01,1921,4,-0.203
1921-06-01,1921,5,-0.121
1921-07-01,1921,6,-0.14
1921-08-01,1921,7,-0.283
1921-09-01,1921,8,-0.165
1921-10-01,1921,9,-0.142
1921-11-01,1921,10,-0.301
1921-12-01,1921,11,-0.147
1922-01-01,1922,0,-0.387
1922-02-01,1922,1,-0.275
1922-03-01,1922,2,-0.267
1922-04-01,1922,3,-0.235
1922-05-01,1922,4,-0.371
1922-06-01,1922,5,-0.324
1922-07-01,1922,6,-0.229
1922-08-01,1922,7,-0.348
1922-09-01,1922,8,-0.282
1922-10-01,1922,9,-0.33
1922-11-01,1922,10,-0.292
1922-12-01,1922,11,-0.308
1923-01-01,1923,0,-0.237
1923-02-01,1923,1,-0.419
1923-03-01,1923,2,-0.412
1923-04-01,1923,3,-0.36
1923-05-01,1923,4,-0.319
1923-06-01,1923,5,-0.243
1923-07-01,1923,6,-0.352
1923-08-01,1923,7,-0.377
1923-09-01,1923,8,-0.327
1923-10-01,1923,9,-0.27
1923-11-01,1923,10,-0.021
1923-12-01,1923,11,-0.014
1924-01-01,1924,0,-0.315
1924-02-01,1924,1,-0.204
1924-03-01,1924,2,-0.271
1924-04-01,1924,3,-0.283
1924-05-01,1924,4,-0.245
1924-06-01,1924,5,-0.214
1924-07-01,1924,6,-0.263
1924-08-01,1924,7,-0.284
1924-09-01,1924,8,-0.284
1924-10-01,1924,9,-0.316
1924-11-01,1924,10,-0.361
1924-12-01,1924,11,-0.53
1925-01-01,1925,0,-0.403
1925-02-01,1925,1,-0.308
1925-03-01,1925,2,-0.23
1925-04-01,1925,3,-0.273
1925-05-01,1925,4,-0.256
1925-06-01,1925,5,-0.257
1925-07-01,1925,6,-0.214
1925-08-01,1925,7,-0.128
1925-09-01,1925,8,-0.191
1925-10-01,1925,9,-0.309
1925-11-01,1925,10,-0.063
1925-12-01,1925,11,0.001
1926-01-01,1926,0,0.086
1926-02-01,1926,1,-0.042
1926-03-01,1926,2,-0.028
1926-04-01,1926,3,-0.176
1926-05-01,1926,4,-0.217
1926-06-01,1926,5,-0.087
1926-07-01,1926,6,-0.239
1926-08-01,1926,7,-0.09
1926-09-01,1926,8,-0.097
1926-10-01,1926,9,-0.088
1926-11-01,1926,10,-0.109
1926-12-01,1926,11,-0.244
1927-01-01,1927,0,-0.261
1927-02-01,1927,1,-0.146
1927-03-01,1927,2,-0.333
1927-04-01,1927,3,-0.258
1927-05-01,1927,4,-0.257
1927-06-01,1927,5,-0.236
1927-07-01,1927,6,-0.147
1927-08-01,1927,7,-0.145
1927-09-01,1927,8,-0.134
1927-10-01,1927,9,-0.038
1927-11-01,1927,10,-0.173
1927-12-01,1927,11,-0.422
1928-01-01,1928,0,-0.054
1928-02-01,1928,1,-0.133
1928-03-01,1928,2,-0.344
1928-04-01,1928,3,-0.251
1928-05-01,1928,4,-0.281
1928-06-01,1928,5,-0.337
1928-07-01,1928,6,-0.166
1928-08-01,1928,7,-0.176
1928-09-01,1928,8,-0.221
1928-10-01,1928,9,-0.161
1928-11-01,1928,10,-0.153
1928-12-01,1928,11,-0.24
1929-01-01,1929,0,-0.487
1929-02-01,1929,1,-0.67
1929-03-01,1929,2,-0.409
1929-04-01,1929,3,-0.389
1929-05-01,1929,4,-0.391
1929-06-01,1929,5,-0.351
1929-07-01,1929,6,-0.358
1929-08-01,1929,7,-0.185
1929-09-01,1929,8,-0.265
1929-10-01,1929,9,-0.176
1929-11-01,1929,10,-0.072
1929-12-01,1929,11,-0.488
1930-01-01,1930,0,-0.327
1930-02-01,1930,1,-0.287
1930-03-01,1930,2,-0.15
1930-04-01,1930,3,-0.201
1930-05-01,1930,4,-0.201
1930-06-01,1930,5,-0.165
1930-07-01,1930,6,-0.122
1930-08-01,1930,7,-0.056
1930-09-01,1930,8,-0.079
1930-10-01,1930,9,-0.089
1930-11-01,1930,10,0.078
1930-12-01,1930,11,-0.079
1931-01-01,1931,0,-0.007
1931-02-01,1931,1,-0.162
1931-03-01,1931,2,-0.123
1931-04-01,1931,3,-0.182
1931-05-01,1931,4,-0.166
1931-06-01,1931,5,-0.04
1931-07-01,1931,6,0.002
1931-08-01,1931,7,-0.054
1931-09-01,1931,8,-0.05
1931-10-01,1931,9,-0.046
1931-11-01,1931,10,-0.153
1931-12-01,1931,11,-0.105
1932-01-01,1932,0,0.157
1932-02-01,1932,1,-0.196
1932-03-01,1932,2,-0.243
1932-04-01,1932,3,-0.069
1932-05-01,1932,4,-0.169
1932-06-01,1932,5,-0.191
1932-07-01,1932,6,-0.128
1932-08-01,1932,7,-0.197
1932-09-01,1932,8,-0.039
1932-10-01,1932,9,-0.176
1932-11-01,1932,10,-0.235
1932-12-01,1932,11,-0.194
1933-01-01,1933,0,-0.295
1933-02-01,1933,1,-0.324
1933-03-01,1933,2,-0.348
1933-04-01,1933,3,-0.222
1933-05-01,1933,4,-0.213
1933-06-01,1933,5,-0.261
1933-07-01,1933,6,-0.185
1933-08-01,1933,7,-0.179
1933-09-01,1933,8,-0.235
1933-10-01,1933,9,-0.204
1933-11-01,1933,10,-0.316
1933-12-01,1933,11,-0.531
1934-01-01,1934,0,-0.225
1934-02-01,1934,1,-0.165
1934-03-01,1934,2,-0.396
1934-04-01,1934,3,-0.25
1934-05-01,1934,4,-0.082
1934-06-01,1934,5,-0.043
1934-07-01,1934,6,-0.068
1934-08-01,1934,7,-0.058
1934-09-01,1934,8,-0.101
1934-10-01,1934,9,-0.091
1934-11-01,1934,10,0.022
1934-12-01,1934,11,-0.142
1935-01-01,1935,0,-0.233
1935-02-01,1935,1,0.101
1935-03-01,1935,2,-0.23
1935-04-01,1935,3,-0.273
1935-05-01,1935,4,-0.245
1935-06-01,1935,5,-0.188
1935-07-01,1935,6,-0.142
1935-08-01,1935,7,-0.154
1935-09-01,1935,8,-0.141
1935-10-01,1935,9,-0.075
1935-11-01,1935,10,-0.308
1935-12-01,1935,11,-0.274
1936-01-01,1936,0,-0.31
1936-02-01,1936,1,-0.365
1936-03-01,1936,2,-0.31
1936-04-01,1936,3,-0.213
1936-05-01,1936,4,-0.16
1936-06-01,1936,5,-0.161
1936-07-01,1936,6,-0.021
1936-08-01,1936,7,-0.045
1936-09-01,1936,8,-0.108
1936-10-01,1936,9,-0.006
1936-11-01,1936,10,-0.071
1936-12-01,1936,11,-0.014
1937-01-01,1937,0,-0.134
1937-02-01,1937,1,0.039
1937-03-01,1937,2,-0.279
1937-04-01,1937,3,-0.135
1937-05-01,1937,4,-0.083
1937-06-01,1937,5,-0.006
1937-07-01,1937,6,0.055
1937-08-01,1937,7,0.085
1937-09-01,1937,8,0.115
1937-10-01,1937,9,0.12
1937-11-01,1937,10,0.002
1937-12-01,1937,11,-0.113
1938-01-01,1938,0,0.013
1938-02-01,1938,1,0.017
1938-03-01,1938,2,0.057
1938-04-01,1938,3,0.077
1938-05-01,1938,4,-0.092
1938-06-01,1938,5,-0.059
1938-07-01,1938,6,-0.044
1938-08-01,1938,7,0.015
1938-09-01,1938,8,0.056
1938-10-01,1938,9,0.141
1938-11-01,1938,10,0.021
1938-12-01,1938,11,-0.296
1939-01-01,1939,0,-0.068
1939-02-01,1939,1,-0.045
1939-03-01,1939,2,-0.271
1939-04-01,1939,3,-0.106
1939-05-01,1939,4,-0.031
1939-06-01,1939,5,0.062
1939-07-01,1939,6,0.047
1939-08-01,1939,7,0.036
1939-09-01,1939,8,-0.081
1939-10-01,1939,9,-0.278
1939-11-01,1939,10,-0.129
1939-12-01,1939,11,0.229
1940-01-01,1940,0,-0.192
1940-02-01,1940,1,-0.043
1940-03-01,1940,2,-0.119
1940-04-01,1940,3,0.047
1940-05-01,1940,4,0.019
1940-06-01,1940,5,0.034
1940-07-01,1940,6,0.145
1940-08-01,1940,7,0.043
1940-09-01,1940,8,0.122
1940-10-01,1940,9,0.011
1940-11-01,1940,10,-0.067
1940-12-01,1940,11,0.161
1941-01-01,1941,0,-0.092
1941-02-01,1941,1,-0.017
1941-03-01,1941,2,-0.136
1941-04-01,1941,3,0.019
1941-05-01,1941,4,-0.022
1941-06-01,1941,5,0.119
1941-07-01,1941,6,0.122
1941-08-01,1941,7,0.024
1941-09-01,1941,8,-0.135
1941-10-01,1941,9,0.216
1941-11-01,1941,10,0.051
1941-12-01,1941,11,0.095
1942-01-01,1942,0,0.206
1942-02-01,1942,1,-0.088
1942-03-01,1942,2,-0.09
1942-04-01,1942,3,-0.065
1942-05-01,1942,4,-0.019
1942-06-01,1942,5,0.034
1942-07-01,1942,6,-0.081
1942-08-01,1942,7,-0.067
1942-09-01,1942,8,0.002
1942-10-01,1942,9,-0.084
1942-11-01,1942,10,-0.066
1942-12-01,1942,11,0.0
1943-01-01,1943,0,-0.214
1943-02-01,1943,1,0.068
1943-03-01,1943,2,-0.204
1943-04-01,1943,3,-0.003
1943-05-01,1943,4,-0.018
1943-06-01,1943,5,-0.096
1943-07-01,1943,6,0.003
1943-08-01,1943,7,-0.009
1943-09-01,1943,8,-0.025
1943-10-01,1943,9,0.229
1943-11-01,1943,10,0.014
1943-12-01,1943,11,0.191
1944-01-01,1944,0,0.281
1944-02-01,1944,1,0.125
1944-03-01,1944,2,0.135
1944-04-01,1944,3,0.046
1944-05-01,1944,4,0.057
1944-06-01,1944,5,0.152
1944-07-01,1944,6,0.22
1944-08-01,1944,7,0.236
1944-09-01,1944,8,0.293
1944-10-01,1944,9,0.209
1944-11-01,1944,10,0.007
1944-12-01,1944,11,-0.034
1945-01-01,1945,0,-0.01
1945-02-01,1945,1,-0.103
1945-03-01,1945,2,-0.048
1945-04-01,1945,3,0.168
1945-05-01,1945,4,-0.108
1945-06-01,1945,5,-0.003
1945-07-01,1945,6,-0.084
1945-08-01,1945,7,0.364
1945-09-01,1945,8,0.161
1945-10-01,1945,9,0.173
1945-11-01,1945,10,-0.012
1945-12-01,1945,11,-0.202
1946-01-01,1946,0,0.096
1946-02-01,1946,1,0.039
1946-03-01,1946,2,-0.062
1946-04-01,1946,3,0.139
1946-05-01,1946,4,-0.11
1946-06-01,1946,5,-0.255
1946-07-01,1946,6,-0.043
1946-08-01,1946,7,-0.147
1946-09-01,1946,8,-0.015
1946-10-01,1946,9,-0.052
1946-11-01,1946,10,-0.094
1946-12-01,1946,11,-0.361
1947-01-01,1947,0,-0.113
1947-02-01,1947,1,-0.174
1947-03-01,1947,2,-0.064
1947-04-01,1947,3,0.089
1947-05-01,1947,4,-0.057
1947-06-01,1947,5,0.004
1947-07-01,1947,6,-0.003
1947-08-01,1947,7,-0.04
1947-09-01,1947,8,-0.068
1947-10-01,1947,9,0.068
1947-11-01,1947,10,0.047
1947-12-01,1947,11,-0.175
1948-01-01,1948,0,0.089
1948-02-01,1948,1,-0.123
1948-03-01,1948,2,-0.178
1948-04-01,1948,3,-0.045
1948-05-01,1948,4,0.101
1948-06-01,1948,5,0.069
1948-07-01,1948,6,-0.104
1948-08-01,1948,7,-0.003
1948-09-01,1948,8,-0.056
1948-10-01,1948,9,0.022
1948-11-01,1948,10,-0.059
1948-12-01,1948,11,-0.198
1949-01-01,1949,0,0.149
1949-02-01,1949,1,-0.144
1949-03-01,1949,2,-0.175
1949-04-01,1949,3,0.004
1949-05-01,1949,4,-0.053
1949-06-01,1949,5,-0.184
1949-07-01,1949,6,-0.099
1949-08-01,1949,7,-0.042
1949-09-01,1949,8,-0.079
1949-10-01,1949,9,-0.034
1949-11-01,1949,10,-0.081
1949-12-01,1949,11,-0.19
1950-01-01,1950,0,-0.318
1950-02-01,1950,1,-0.25
1950-03-01,1950,2,-0.181
1950-04-01,1950,3,-0.173
1950-05-01,1950,4,-0.094
1950-06-01,1950,5,-0.076
1950-07-01,1950,6,-0.044
1950-08-01,1950,7,-0.12
1950-09-01,1950,8,-0.106
1950-10-01,1950,9,-0.129
1950-11-01,1950,10,-0.391
1950-12-01,1950,11,-0.25
1951-01-01,1951,0,-0.354
1951-02-01,1951,1,-0.461
1951-03-01,1951,2,-0.293
1951-04-01,1951,3,-0.108
1951-05-01,1951,4,-0.015
1951-06-01,1951,5,0.033
1951-07-01,1951,6,0.041
1951-08-01,1951,7,0.135
1951-09-01,1951,8,0.091
1951-10-01,1951,9,0.135
1951-11-01,1951,10,-0.035
1951-12-01,1951,11,0.18
1952-01-01,1952,0,0.184
1952-02-01,1952,1,0.13
1952-03-01,1952,2,-0.131
1952-04-01,1952,3,0.053
1952-05-01,1952,4,0.036
1952-06-01,1952,5,0.039
1952-07-01,1952,6,0.1
1952-08-01,1952,7,0.093
1952-09-01,1952,8,0.1
1952-10-01,1952,9,-0.007
1952-11-01,1952,10,-0.186
1952-12-01,1952,11,-0.062
1953-01-01,1953,0,0.064
1953-02-01,1953,1,0.147
1953-03-01,1953,2,0.126
1953-04-01,1953,3,0.191
1953-05-01,1953,4,0.138
1953-06-01,1953,5,0.167
1953-07-01,1953,6,0.048
1953-08-01,1953,7,0.099
1953-09-01,1953,8,0.077
1953-10-01,1953,9,0.073
1953-11-01,1953,10,-0.067
1953-12-01,1953,11,0.091
1954-01-01,1954,0,-0.237
1954-02-01,1954,1,-0.086
1954-03-01,1954,2,-0.153
1954-04-01,1954,3,-0.145
1954-05-01,1954,4,-0.205
1954-06-01,1954,5,-0.126
1954-07-01,1954,6,-0.199
1954-08-01,1954,7,-0.093
1954-09-01,1954,8,-0.086
1954-10-01,1954,9,-0.03
1954-11-01,1954,10,0.022
1954-12-01,1954,11,-0.232
1955-01-01,1955,0,0.124
1955-02-01,1955,1,-0.168
1955-03-01,1955,2,-0.405
1955-04-01,1955,3,-0.246
1955-05-01,1955,4,-0.232
1955-06-01,1955,5,-0.163
1955-07-01,1955,6,-0.199
1955-08-01,1955,7,-0.062
1955-09-01,1955,8,-0.114
1955-10-01,1955,9,-0.166
1955-11-01,1955,10,-0.316
1955-12-01,1955,11,-0.337
1956-01-01,1956,0,-0.247
1956-02-01,1956,1,-0.346
1956-03-01,1956,2,-0.315
1956-04-01,1956,3,-0.335
1956-05-01,1956,4,-0.28
1956-06-01,1956,5,-0.23
1956-07-01,1956,6,-0.206
1956-08-01,1956,7,-0.25
1956-09-01,1956,8,-0.283
1956-10-01,1956,9,-0.233
1956-11-01,1956,10,-0.262
1956-12-01,1956,11,-0.209
1957-01-01,1957,0,-0.167
1957-02-01,1957,1,-0.131
1957-03-01,1957,2,-0.188
1957-04-01,1957,3,-0.064
1957-05-01,1957,4,0.049
1957-06-01,1957,5,0.082
1957-07-01,1957,6,-0.0
1957-08-01,1957,7,0.093
1957-09-01,1957,8,0.037
1957-10-01,1957,9,-0.015
1957-11-01,1957,10,0.055
1957-12-01,1957,11,0.151
1958-01-01,1958,0,0.267
1958-02-01,1958,1,0.184
1958-03-01,1958,2,0.001
1958-04-01,1958,3,0.035
1958-05-01,1958,4,0.032
1958-06-01,1958,5,-0.015
1958-07-01,1958,6,0.041
1958-08-01,1958,7,0.004
1958-09-01,1958,8,-0.053
1958-10-01,1958,9,0.014
1958-11-01,1958,10,0.011
1958-12-01,1958,11,0.03
1959-01-01,1959,0,0.087
1959-02-01,1959,1,0.033
1959-03-01,1959,2,0.079
1959-04-01,1959,3,0.046
1959-05-01,1959,4,-0.01
1959-06-01,1959,5,0.062
1959-07-01,1959,6,0.03
1959-08-01,1959,7,0.047
1959-09-01,1959,8,0.041
1959-10-01,1959,9,-0.034
1959-11-01,1959,10,-0.111
1959-12-01,1959,11,-0.069
1960-01-01,1960,0,-0.032
1960-02-01,1960,1,0.104
1960-03-01,1960,2,-0.314
1960-04-01,1960,3,-0.176
1960-05-01,1960,4,-0.156
1960-06-01,1960,5,-0.03
1960-07-01,1960,6,-0.028
1960-08-01,1960,7,0.008
1960-09-01,1960,8,0.064
1960-10-01,1960,9,-0.027
1960-11-01,1960,10,-0.149
1960-12-01,1960,11,0.146
1961-01-01,1961,0,0.045
1961-02-01,1961,1,0.177
1961-03-01,1961,2,0.093
1961-04-01,1961,3,0.096
1961-05-01,1961,4,0.092
1961-06-01,1961,5,0.111
1961-07-01,1961,6,0.019
1961-08-01,1961,7,0.033
1961-09-01,1961,8,-0.029
1961-10-01,1961,9,-0.033
1961-11-01,1961,10,-0.018
1961-12-01,1961,11,-0.117
1962-01-01,1962,0,0.053
1962-02-01,1962,1,0.135
1962-03-01,1962,2,0.028
1962-04-01,1962,3,0.024
1962-05-01,1962,4,-0.047
1962-06-01,1962,5,-0.052
1962-07-01,1962,6,0.018
1962-08-01,1962,7,-0.005
1962-09-01,1962,8,-0.017
1962-10-01,1962,9,0.042
1962-11-01,1962,10,0.01
1962-12-01,1962,11,-0.012
1963-01-01,1963,0,-0.045
1963-02-01,1963,1,0.148
1963-03-01,1963,2,-0.147
1963-04-01,1963,3,-0.069
1963-05-01,1963,4,-0.022
1963-06-01,1963,5,-0.033
1963-07-01,1963,6,0.111
1963-08-01,1963,7,0.126
1963-09-01,1963,8,0.127
1963-10-01,1963,9,0.225
1963-11-01,1963,10,0.164
1963-12-01,1963,11,-0.006
1964-01-01,1964,0,-0.053
1964-02-01,1964,1,-0.127
1964-03-01,1964,2,-0.278
1964-04-01,1964,3,-0.246
1964-05-01,1964,4,-0.177
1964-06-01,1964,5,-0.161
1964-07-01,1964,6,-0.172
1964-08-01,1964,7,-0.256
1964-09-01,1964,8,-0.282
1964-10-01,1964,9,-0.267
1964-11-01,1964,10,-0.295
1964-12-01,1964,11,-0.353
1965-01-01,1965,0,-0.106
1965-02-01,1965,1,-0.249
1965-03-01,1965,2,-0.218
1965-04-01,1965,3,-0.255
1965-05-01,1965,4,-0.162
1965-06-01,1965,5,-0.11
1965-07-01,1965,6,-0.183
1965-08-01,1965,7,-0.106
1965-09-01,1965,8,-0.088
1965-10-01,1965,9,-0.024
1965-11-01,1965,10,-0.13
1965-12-01,1965,11,-0.065
1966-01-01,1966,0,-0.094
1966-02-01,1966,1,-0.093
1966-03-01,1966,2,-0.067
1966-04-01,1966,3,-0.105
1966-05-01,1966,4,-0.138
1966-06-01,1966,5,0.038
1966-07-01,1966,6,0.03
1966-08-01,1966,7,-0.017
1966-09-01,1966,8,-0.038
1966-10-01,1966,9,-0.104
1966-11-01,1966,10,-0.095
1966-12-01,1966,11,-0.14
1967-01-01,1967,0,-0.172
1967-02-01,1967,1,-0.237
1967-03-01,1967,2,-0.05
1967-04-01,1967,3,-0.063
1967-05-01,1967,4,0.076
1967-06-01,1967,5,-0.081
1967-07-01,1967,6,-0.063
1967-08-01,1967,7,-0.061
1967-09-01,1967,8,-0.093
1967-10-01,1967,9,0.062
1967-11-01,1967,10,-0.059
1967-12-01,1967,11,-0.147
1968-01-01,1968,0,-0.241
1968-02-01,1968,1,-0.212
1968-03-01,1968,2,0.036
1968-04-01,1968,3,-0.169
1968-05-01,1968,4,-0.218
1968-06-01,1968,5,-0.107
1968-07-01,1968,6,-0.102
1968-08-01,1968,7,-0.059
1968-09-01,1968,8,-0.086
1968-10-01,1968,9,-0.021
1968-11-01,1968,10,-0.071
1968-12-01,1968,11,-0.11
1969-01-01,1969,0,-0.172
1969-02-01,1969,1,-0.168
1969-03-01,1969,2,-0.005
1969-04-01,1969,3,0.106
1969-05-01,1969,4,0.132
1969-06-01,1969,5,0.025
1969-07-01,1969,6,0.038
1969-08-01,1969,7,0.054
1969-09-01,1969,8,0.019
1969-10-01,1969,9,0.031
1969-11-01,1969,10,0.131
1969-12-01,1969,11,0.194
1970-01-01,1970,0,0.07
1970-02-01,1970,1,0.144
1970-03-01,1970,2,-0.069
1970-04-01,1970,3,0.056
1970-05-01,1970,4,-0.036
1970-06-01,1970,5,-0.015
1970-07-01,1970,6,-0.05
1970-08-01,1970,7,-0.093
1970-09-01,1970,8,-0.04
1970-10-01,1970,9,-0.075
1970-11-01,1970,10,-0.05
1970-12-01,1970,11,-0.166
1971-01-01,1971,0,-0.102
1971-02-01,1971,1,-0.289
1971-03-01,1971,2,-0.282
1971-04-01,1971,3,-0.237
1971-05-01,1971,4,-0.214
1971-06-01,1971,5,-0.235
1971-07-01,1971,6,-0.13
1971-08-01,1971,7,-0.168
1971-09-01,1971,8,-0.124
1971-10-01,1971,9,-0.165
1971-11-01,1971,10,-0.086
1971-12-01,1971,11,-0.199
1972-01-01,1972,0,-0.379
1972-02-01,1972,1,-0.291
1972-03-01,1972,2,-0.132
1972-04-01,1972,3,-0.077
1972-05-01,1972,4,-0.065
1972-06-01,1972,5,0.008
1972-07-01,1972,6,-0.017
1972-08-01,1972,7,0.016
1972-09-01,1972,8,-0.053
1972-10-01,1972,9,0.007
1972-11-01,1972,10,0.002
1972-12-01,1972,11,0.187
1973-01-01,1973,0,0.147
1973-02-01,1973,1,0.278
1973-03-01,1973,2,0.226
1973-04-01,1973,3,0.162
1973-05-01,1973,4,0.085
1973-06-01,1973,5,0.11
1973-07-01,1973,6,0.026
1973-08-01,1973,7,0.017
1973-09-01,1973,8,-0.042
1973-10-01,1973,9,-0.047
1973-11-01,1973,10,-0.099
1973-12-01,1973,11,-0.113
1974-01-01,1974,0,-0.372
1974-02-01,1974,1,-0.41
1974-03-01,1974,2,-0.229
1974-04-01,1974,3,-0.18
1974-05-01,1974,4,-0.196
1974-06-01,1974,5,-0.153
1974-07-01,1974,6,-0.127
1974-08-01,1974,7,-0.083
1974-09-01,1974,8,-0.129
1974-10-01,1974,9,-0.22
1974-11-01,1974,10,-0.217
1974-12-01,1974,11,-0.242
1975-01-01,1975,0,-0.075
1975-02-01,1975,1,-0.093
1975-03-01,1975,2,-0.077
1975-04-01,1975,3,-0.09
1975-05-01,1975,4,-0.086
1975-06-01,1975,5,-0.086
1975-07-01,1975,6,-0.11
1975-08-01,1975,7,-0.18
1975-09-01,1975,8,-0.126
1975-10-01,1975,9,-0.234
1975-11-01,1975,10,-0.319
1975-12-01,1975,11,-0.309
1976-01-01,1976,0,-0.233
1976-02-01,1976,1,-0.329
1976-03-01,1976,2,-0.445
1976-04-01,1976,3,-0.195
1976-05-01,1976,4,-0.317
1976-06-01,1976,5,-0.25
1976-07-01,1976,6,-0.182
1976-08-01,1976,7,-0.202
1976-09-01,1976,8,-0.162
1976-10-01,1976,9,-0.316
1976-11-01,1976,10,-0.18
1976-12-01,1976,11,-0.087
1977-01-01,1977,0,-0.074
1977-02-01,1977,1,0.077
1977-03-01,1977,2,0.102
1977-04-01,1977,3,0.094
1977-05-01,1977,4,0.072
1977-06-01,1977,5,0.112
1977-07-01,1977,6,0.065
1977-08-01,1977,7,-0.001
1977-09-01,1977,8,0.033
1977-10-01,1977,9,-0.005
1977-11-01,1977,10,0.141
1977-12-01,1977,11,-0.051
1978-01-01,1978,0,0.017
1978-02-01,1978,1,-0.035
1978-03-01,1978,2,0.028
1978-04-01,1978,3,-0.061
1978-05-01,1978,4,-0.085
1978-06-01,1978,5,-0.135
1978-07-01,1978,6,-0.066
1978-08-01,1978,7,-0.185
1978-09-01,1978,8,-0.054
1978-10-01,1978,9,-0.112
1978-11-01,1978,10,0.046
1978-12-01,1978,11,-0.098
1979-01-01,1979,0,-0.029
1979-02-01,1979,1,-0.138
1979-03-01,1979,2,0.016
1979-04-01,1979,3,-0.05
1979-05-01,1979,4,-0.033
1979-06-01,1979,5,0.058
1979-07-01,1979,6,0.054
1979-08-01,1979,7,0.083
1979-09-01,1979,8,0.092
1979-10-01,1979,9,0.135
1979-11-01,1979,10,0.146
1979-12-01,1979,11,0.355
1980-01-01,1980,0,0.134
1980-02-01,1980,1,0.217
1980-03-01,1980,2,0.069
1980-04-01,1980,3,0.144
1980-05-01,1980,4,0.142
1980-06-01,1980,5,0.07
1980-07-01,1980,6,0.061
1980-08-01,1980,7,0.038
1980-09-01,1980,8,0.039
1980-10-01,1980,9,0.011
1980-11-01,1980,10,0.129
1980-12-01,1980,11,0.055
1981-01-01,1981,0,0.329
1981-02-01,1981,1,0.197
1981-03-01,1981,2,0.208
1981-04-01,1981,3,0.131
1981-05-01,1981,4,0.066
1981-06-01,1981,5,0.125
1981-07-01,1981,6,0.089
1981-08-01,1981,7,0.121
1981-09-01,1981,8,0.072
1981-10-01,1981,9,0.004
1981-11-01,1981,10,0.072
1981-12-01,1981,11,0.265
1982-01-01,1982,0,-0.045
1982-02-01,1982,1,0.006
1982-03-01,1982,2,-0.129
1982-04-01,1982,3,0.029
1982-05-01,1982,4,0.04
1982-06-01,1982,5,-0.055
1982-07-01,1982,6,-0.016
1982-08-01,1982,7,-0.009
1982-09-01,1982,8,0.075
1982-10-01,1982,9,0.006
1982-11-01,1982,10,-0.009
1982-12-01,1982,11,0.25
1983-01-01,1983,0,0.428
1983-02-01,1983,1,0.313
1983-03-01,1983,2,0.213
1983-04-01,1983,3,0.12
1983-05-01,1983,4,0.137
1983-06-01,1983,5,0.134
1983-07-01,1983,6,0.152
1983-08-01,1983,7,0.2
1983-09-01,1983,8,0.188
1983-10-01,1983,9,0.099
1983-11-01,1983,10,0.256
1983-12-01,1983,11,0.089
1984-01-01,1984,0,0.118
1984-02-01,1984,1,0.013
1984-03-01,1984,2,0.049
1984-04-01,1984,3,-0.046
1984-05-01,1984,4,0.092
1984-06-01,1984,5,-0.015
1984-07-01,1984,6,-0.037
1984-08-01,1984,7,0.041
1984-09-01,1984,8,0.033
1984-10-01,1984,9,-0.022
1984-11-01,1984,10,-0.121
1984-12-01,1984,11,-0.274
1985-01-01,1985,0,0.011
1985-02-01,1985,1,-0.133
1985-03-01,1985,2,-0.026
1985-04-01,1985,3,-0.04
1985-05-01,1985,4,-0.003
1985-06-01,1985,5,-0.061
1985-07-01,1985,6,-0.06
1985-08-01,1985,7,0.026
1985-09-01,1985,8,-0.032
1985-10-01,1985,9,0.018
1985-11-01,1985,10,-0.072
1985-12-01,1985,11,0.014
1986-01-01,1986,0,0.124
1986-02-01,1986,1,0.09
1986-03-01,1986,2,0.075
1986-04-01,1986,3,0.078
1986-05-01,1986,4,0.045
1986-06-01,1986,5,0.049
1986-07-01,1986,6,-0.002
1986-08-01,1986,7,0.002
1986-09-01,1986,8,0.011
1986-10-01,1986,9,0.066
1986-11-01,1986,10,-0.007
1986-12-01,1986,11,0.01
1987-01-01,1987,0,0.112
1987-02-01,1987,1,0.302
1987-03-01,1987,2,0.022
1987-04-01,1987,3,0.095
1987-05-01,1987,4,0.148
1987-06-01,1987,5,0.127
1987-07-01,1987,6,0.269
1987-08-01,1987,7,0.237
1987-09-01,1987,8,0.274
1987-10-01,1987,9,0.204
1987-11-01,1987,10,0.197
1987-12-01,1987,11,0.322
1988-01-01,1988,0,0.388
1988-02-01,1988,1,0.233
1988-03-01,1988,2,0.262
1988-04-01,1988,3,0.225
