Dates,Année,Mois,Anomalies
1865-08-01,1865,7,-0.21
1865-09-01,1865,8,-0.085
1865-10-01,1865,9,-0.27
1865-11-01,1865,10,-0.2
1865-12-01,1865,11,-0.342
1866-01-01,1866,0,0.037
1866-02-01,1866,1,-0.216
1866-03-01,1866,2,-0.596
1866-04-01,1866,3,-0.265
1866-05-01,1866,4,-0.53
1866-06-01,1866,5,0.098
1866-07-01,1866,6,0.018
1866-08-01,1866,7,-0.273
1866-09-01,1866,8,-0.232
1866-10-01,1866,9,-0.425
1866-11-01,1866,10,-0.309
1866-12-01,1866,11,-0.334
1867-01-01,1867,0,-0.313
1867-02-01,1867,1,0.007
1867-03-01,1867,2,-0.714
1867-04-01,1867,3,-0.266
1867-05-01,1867,4,-0.546
1867-06-01,1867,5,-0.304
1867-07-01,1867,6,-0.247
1867-08-01,1867,7,-0.234
1867-09-01,1867,8,-0.103
1867-10-01,1867,9,-0.186
1867-11-01,1867,10,-0.314
1867-12-01,1867,11,-0.628
1868-01-01,1868,0,-0.7
1868-02-01,1868,1,-0.471
1868-03-01,1868,2,-0.079
1868-04-01,1868,3,-0.381
1868-05-01,1868,4,-0.077
1868-06-01,1868,5,-0.178
1868-07-01,1868,6,0.138
1868-08-01,1868,7,-0.041
1868-09-01,1868,8,-0.202
1868-10-01,1868,9,-0.238
1868-11-01,1868,10,-0.505
1868-12-01,1868,11,-0.131
1869-01-01,1869,0,-0.249
1869-02-01,1869,1,0.258
1869-03-01,1869,2,-0.591
1869-04-01,1869,3,-0.221
1869-05-01,1869,4,-0.281
1869-06-01,1869,5,-0.376
1869-07-01,1869,6,-0.293
1869-08-01,1869,7,-0.084
1869-09-01,1869,8,-0.196
1869-10-01,1869,9,-0.417
1869-11-01,1869,10,-0.371
1869-12-01,1869,11,-0.358
1870-01-01,1870,0,-0.082
1870-02-01,1870,1,-0.453
1870-03-01,1870,2,-0.4
1870-04-01,1870,3,-0.206
1870-05-01,1870,4,-0.168
1870-06-01,1870,5,-0.216
1870-07-01,1870,6,0.018
1870-08-01,1870,7,-0.259
1870-09-01,1870,8,-0.264
1870-10-01,1870,9,-0.403
1870-11-01,1870,10,-0.17
1870-12-01,1870,11,-0.72
1871-01-01,1871,0,-0.528
1871-02-01,1871,1,-0.548
1871-03-01,1871,2,0.003
1871-04-01,1871,3,-0.139
1871-05-01,1871,4,-0.309
1871-06-01,1871,5,-0.222
1871-07-01,1871,6,-0.013
1871-08-01,1871,7,-0.221
1871-09-01,1871,8,-0.453
1871-10-01,1871,9,-0.48
1871-11-01,1871,10,-0.538
1871-12-01,1871,11,-0.561
1872-01-01,1872,0,-0.31
1872-02-01,1872,1,-0.405
1872-03-01,1872,2,-0.47
1872-04-01,1872,3,-0.15
1872-05-01,1872,4,-0.041
1872-06-01,1872,5,-0.205
1872-07-01,1872,6,-0.113
1872-08-01,1872,7,-0.027
1872-09-01,1872,8,-0.128
1872-10-01,1872,9,-0.227
1872-11-01,1872,10,-0.244
1872-12-01,1872,11,-0.426
1873-01-01,1873,0,-0.03
1873-02-01,1873,1,-0.344
1873-03-01,1873,2,-0.29
1873-04-01,1873,3,-0.524
1873-05-01,1873,4,-0.412
1873-06-01,1873,5,-0.257
